Month,Reported by,Falls within,Longitude,Latitude,Location,Crime type
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.936923,55.044233,On or near Drumachose Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.349073,54.177294,On or near Woodhill,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.682102,54.60574,On or near Beverley Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.906399,54.589729,On or near Coburg Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.673615,54.585746,On or near Teal Rocks,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.887872,54.597934,On or near Westminister Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.218068,54.736648,On or near Niblock Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.452179,54.435192,On or near Ballyoran Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.873256,54.594821,On or near Kerrsland Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.661741,55.13656,On or near Bushmills Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.269485,54.595835,On or near Riverview Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.94037,54.616198,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.932248,54.586157,On or near Botanic Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.923939,54.58376,On or near Agincourt Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.878378,54.601955,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.925189,54.583206,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.391034,54.449486,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.946258,54.696246,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.643856,54.347106,On or near Castle Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.6023,54.368473,On or near Woaghternerry,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.339619,54.176616,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.32279,55.003489,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.452561,54.404227,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.678475,54.606901,On or near Beverley Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.890259,54.460576,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.948623,54.614002,On or near Oldpark Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.221281,54.587751,On or near Glen Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.006447,54.550295,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.292962,54.490601,On or near Old Kilmore Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.27521,54.343234,On or near Fort Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.962178,54.606711,On or near ,Anti-social behaviour
